Movie Name,Storyline,Cleaned_Storyline
Dead Sea,"Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret.",stranded open sea fatal accident young woman two friends rescued fishing vessel captain unaware ship harbors chilling secret
Successor,"Ma Chenggang and Chunlan, who have ""no oil in their soup and no money in their pockets"", ride a donkey to work and have a poor family. Their son Ma Jiye is the only hope who can change their fate.",chenggang chunlan oil soup money pockets ride donkey work poor family son jiye hope change fate
Survive,A couple celebrates their son's birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,couple celebrates son birthday middle ocean boat violent storm hits brings hungry creatures depths fight survival
We Shall Not Be Moved,"Socorro, obsessed with finding her brother's killer from 1968's Tlatelolco massacre, receives a clue and risks everything, straining family ties, to avenge his death by locating the former soldier.",socorro obsessed finding brother killer tlatelolco massacre receives clue risks everything straining family ties avenge death locating former soldier
"Brooklyn, Minnesota","Follows Maisie and her father Kurt who have to leave their Brooklyn bubble to go back to Kurt's childhood home in Minnesota, where Maisie upsets long-standing family traditions, falls in love, and makes her family face their issues.",follows maisie father kurt leave brooklyn bubble go back kurt childhood home minnesota maisie upsets long standing family traditions falls love makes family face issues
The Ties That Bind Us,"Exploring the challenges of modern family structures, the film follows a single father, a feminist librarian and a child seeking a place to belong as they navigate love and desires. It questions what it means to be a family.",exploring challenges modern family structures film follows single father feminist librarian child seeking place belong navigate love desires questions means family
Nurse Abi,"When overworked graphic designer Roy faints, he wakes up to the beautiful Nurse Abi taking care of him. This starts Roy's fantasy of going out and sleeping with Nurse Abi. But can he turn this fantasy into a reality?",overworked graphic designer roy faints wakes beautiful nurse abi taking care starts roy fantasy going sleeping nurse abi turn fantasy reality
Blue Cave,"Navy soldier Cem embarks on trip to ""Blue Cave"" he promised wife Alara. Journey unveils details of their relationship, affirming enduring love beyond death.",navy soldier cem embarks trip blue cave promised wife alara journey unveils details relationship affirming enduring love beyond death
Blue Lock: Episode Nagi,Seishiro Nagi before he enters the titular Blue Lock facility.,seishiro nagi enters titular blue lock facility
Frankie Freako,Workaholic yuppie Conor is in an existential rut until one night he catches a bizarre ad for a party hotline hosted by a strange dancing goblin: Frankie Freako. Could this be just the recipe to spice up his boring life?,workaholic yuppie conor existential rut one night catches bizarre ad party hotline hosted strange dancing goblin frankie freako could recipe spice boring life
Naples to New York,Follows two Neapolitan kids as they journey to New York to escape Italy's early postwar poverty.,follows two neapolitan kids journey new york escape italy early postwar poverty
Bhakshak,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.,revolves around journey unwavering woman quest seek justice perseverance getting heinous crime light
Maldoror,"Two girls vanish. Police recruit Paul Chartier joins a covert unit tracking a sex offender. After the operation falters, Chartier pursues the perpetrators independently, disillusioned with legal constraints.",two girls vanish police recruit paul chartier joins covert unit tracking sex offender operation falters chartier pursues perpetrators independently disillusioned legal constraints
One to One: John & Yoko,"Set in 1972 New York, this documentary explores John and Yoko's world amid a turbulent era. Centered on the One to One charity concert for special needs children, it features unseen archives, home movies, and restored footage.",set new york documentary explores john yoko world amid turbulent era centered one one charity concert special needs children features unseen archives home movies restored footage
Baby Assassins: Nice Days,Teenage assassins Chisato and Mahiro visit the coastal city of Miyazaki when they unexpectedly cross paths with a bloodthirsty assassin who's looking to add to his personal body count.,teenage assassins chisato mahiro visit coastal city miyazaki unexpectedly cross paths bloodthirsty assassin looking add personal body count
Baby Invasion,"An ultra-realistic, multiplayer FPS game follows a group of mercenaries using baby faces as avatars. Tasked with entering mansions of the rich and powerful, players must explore every rabbit hole before time runs out.",ultra realistic multiplayer fps game follows group mercenaries using baby faces avatars tasked entering mansions rich powerful players must explore every rabbit hole time runs
My Husband Hired a Hitman,"When a greedy husband seeks a hitman to murder his wife and get her money, she will stop at nothing to fight back and seek revenge.",greedy husband seeks hitman murder wife get money stop nothing fight back seek revenge
Grafted,A bright but socially awkward exchange student takes her craving for popularity to horrifying heights.,bright socially awkward exchange student takes craving popularity horrifying heights
The Dead Thing,"A young woman lost in a series of meaningless connections falls in love with a charismatic and sensitive man, who hides a dark secret that turns her affair into a dangerous obsession.",young woman lost series meaningless connections falls love charismatic sensitive man hides dark secret turns affair dangerous obsession
Stelios,"Legendary Greek singer Stelios Kazantzidis, a Pontic refugee child who overcame challenges through talent and resilience, exploring his music, relationships, hardships, and devoted fanbase.",legendary greek singer stelios kazantzidis pontic refugee child overcame challenges talent resilience exploring music relationships hardships devoted fanbase
Rent Free,"After hitting emotional and financial rock bottom, best friends Ben and Jordan come up with a scheme to spend an entire year living ""rent free"" with the help of friends, family and strangers alike in a rapidly changing Austin.",hitting emotional financial rock bottom best friends ben jordan come scheme spend entire year living rent free help friends family strangers alike rapidly changing austin
ReEntry,"A romantic sci-fi drama about a woman whose husband disappears in a scientific experiment, only to return a year later.",romantic sci fi drama woman whose husband disappears scientific experiment return year later
Sector 36,"A fictional story Inspired by true events, several children go missing from a basti (slum) in Sector 36. A determined police officer must now face off with a cunning serial killer as a chilling investigation and dark secrets unfold.",fictional story inspired true events several children go missing basti slum sector determined police officer must face cunning serial killer chilling investigation dark secrets unfold
Daddy's Head,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.,boy stepmother fear safety eerie creature resembling boy recently deceased father visits
La pie voleuse,"An aging caregiver steals small amounts from her elderly clients despite caring for them devotedly and being loved in return, as she struggles financially but won't accept her situation.",aging caregiver steals small amounts elderly clients despite caring devotedly loved return struggles financially accept situation
